decision_id,timestamp,actor_type,actor_id,entity_type,entity_id,event_sequence,journey_type,journey_instance_id,journey_state
6,2022-03-01 18:57:36,customer,CUST_000001,,,216,shopping,inst_00000,browsing
10,2022-03-01 12:17:14,customer,CUST_000002,,,220,shopping,inst_00001,considering
13,2022-03-01 12:36:03,customer,CUST_000002,,,223,shopping,inst_00001,checkout
17,2022-03-01 09:12:51,customer,CUST_000003,,,228,shopping,inst_00002,browsing
18,2022-03-01 09:15:51,customer,CUST_000003,,,229,shopping,inst_00002,browsing
20,2022-03-01 09:20:55,customer,CUST_000003,,,231,shopping,inst_00002,browsing
23,2022-03-01 20:42:05,customer,CUST_000004,,,234,shopping,inst_00003,browsing
26,2022-03-01 20:45:05,customer,CUST_000004,,,237,shopping,inst_00003,browsing
27,2022-03-01 20:48:05,customer,CUST_000004,,,238,shopping,inst_00003,considering
39,2022-03-02 13:24:18,customer,CUST_000007,,,258,shopping,inst_00006,browsing
43,2022-03-02 13:42:06,customer,CUST_000008,,,262,shopping,inst_00007,considering
48,2022-03-02 11:55:30,customer,CUST_000010,,,267,shopping,inst_00009,browsing
54,2022-03-02 18:12:15,customer,CUST_000012,,,273,shopping,inst_00011,browsing
59,2022-03-02 10:02:00,customer,CUST_000013,,,278,shopping,inst_00012,browsing
61,2022-03-02 10:05:00,customer,CUST_000013,,,280,shopping,inst_00012,browsing
63,2022-03-02 10:11:23,customer,CUST_000013,,,282,shopping,inst_00012,considering
73,2022-03-03 15:33:17,customer,CUST_000014,,,300,shopping,inst_00013,browsing
77,2022-03-03 11:37:14,customer,CUST_000015,,,304,shopping,inst_00014,browsing
79,2022-03-03 11:40:14,customer,CUST_000015,,,306,shopping,inst_00014,considering
83,2022-03-03 11:49:48,customer,CUST_000015,,,310,shopping,inst_00014,checkout
87,2022-03-03 16:06:23,customer,CUST_000016,,,314,shopping,inst_00015,considering
90,2022-03-03 16:12:22,customer,CUST_000016,,,317,shopping,inst_00015,checkout
93,2022-03-03 16:14:50,customer,CUST_000016,,,321,shopping,inst_00015,purchased
97,2022-03-03 15:15:03,customer,CUST_000017,,,325,shopping,inst_00016,browsing
99,2022-03-03 15:19:59,customer,CUST_000017,,,327,shopping,inst_00016,browsing
102,2022-03-03 15:22:59,customer,CUST_000017,,,330,shopping,inst_00016,browsing
105,2022-03-03 15:25:59,customer,CUST_000017,,,333,shopping,inst_00016,browsing
107,2022-03-03 15:29:39,customer,CUST_000017,,,335,shopping,inst_00016,browsing
109,2022-03-03 15:32:39,customer,CUST_000017,,,337,shopping,inst_00016,browsing
110,2022-03-03 15:35:59,customer,CUST_000017,,,338,shopping,inst_00016,considering
114,2022-03-03 10:14:31,customer,CUST_000018,,,342,shopping,inst_00017,browsing
119,2022-03-03 09:58:54,customer,CUST_000020,,,347,shopping,inst_00019,browsing
130,2022-03-04 07:12:29,customer,CUST_000023,,,361,shopping,inst_00022,browsing
133,2022-03-04 07:15:29,customer,CUST_000023,,,364,shopping,inst_00022,browsing
136,2022-03-04 07:19:18,customer,CUST_000023,,,367,shopping,inst_00022,browsing
139,2022-03-04 07:25:02,customer,CUST_000023,,,370,shopping,inst_00022,browsing
142,2022-03-04 08:07:44,customer,CUST_000024,,,373,shopping,inst_00023,browsing
144,2022-03-04 08:10:44,customer,CUST_000024,,,375,shopping,inst_00023,considering
162,2022-03-05 16:53:50,customer,CUST_000025,,,405,shopping,inst_00024,browsing
166,2022-03-05 20:04:42,customer,CUST_000026,,,409,shopping,inst_00025,browsing
171,2022-03-05 10:58:38,customer,CUST_000027,,,414,shopping,inst_00026,browsing
172,2022-03-05 11:01:38,customer,CUST_000027,,,415,shopping,inst_00026,browsing
174,2022-03-05 11:04:38,customer,CUST_000027,,,417,shopping,inst_00026,browsing
176,2022-03-05 11:07:38,customer,CUST_000027,,,419,shopping,inst_00026,browsing
180,2022-03-05 09:07:54,customer,CUST_000028,,,423,shopping,inst_00027,browsing
183,2022-03-05 09:10:54,customer,CUST_000028,,,426,shopping,inst_00027,browsing
185,2022-03-05 09:15:04,customer,CUST_000028,,,428,shopping,inst_00027,browsing
187,2022-03-05 09:18:43,customer,CUST_000028,,,430,shopping,inst_00027,browsing
190,2022-03-05 09:21:43,customer,CUST_000028,,,433,shopping,inst_00027,considering
193,2022-03-05 09:26:43,customer,CUST_000028,,,436,shopping,inst_00027,checkout
198,2022-03-05 09:30:37,customer,CUST_000028,,,442,shopping,inst_00027,purchased
